TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;Starttime
1;2024-01-01 00:13:01;70834326.88;8;1;4;1;881;2024-01-01 00:13:01
2;2024-01-01 00:18:34;22902922.97;8;0;7;0;53;2024-01-01 00:18:34
3;2024-01-01 00:22:23;30561682.0;6;0;8;0;1236;2024-01-01 00:22:23
4;2024-01-01 00:24:34;7787959.1;1;0;3;0;1104;2024-01-01 00:24:34
6;2024-01-01 00:32:53;31251466.08;4;3;5;3;1210;2024-01-01 00:32:53
7;2024-01-01 00:40:42;48346675.72;5;1;1;1;995;2024-01-01 00:40:42
8;2024-01-01 00:44:37;148248755.92;4;0;6;0;467;2024-01-01 00:44:37
9;2024-01-01 00:47:10;54056009.55;7;0;3;0;100;2024-01-01 00:47:10
10;2024-01-01 00:47:48;80074806.58;1;4;7;4;1029;2024-01-01 00:47:48
11;2024-01-01 00:48:56;48598900.65;8;0;7;0;457;2024-01-01 00:48:56
12;2024-01-01 00:53:53;66675003.66;4;0;2;0;996;2024-01-01 00:53:53
13;2024-01-01 00:58:36;29132416.87;5;3;4;3;437;2024-01-01 00:58:36
14;2024-01-01 01:00:01;49046560.32;8;0;6;0;803;2024-01-01 01:00:01
15;2024-01-01 01:02:14;31362411.29;1;0;2;0;288;2024-01-01 01:02:14
16;2024-01-01 01:03:27;59379742.41;4;2;1;2;216;2024-01-01 01:03:27
18;2024-01-01 01:15:10;70105500.4;2;1;1;1;257;2024-01-01 01:15:10
19;2024-01-01 01:18:43;126632033.13;5;0;6;0;679;2024-01-01 01:18:43
20;2024-01-01 01:18:55;75137565.4;5;0;6;0;1037;2024-01-01 01:18:55
22;2024-01-01 01:30:06;31749390.63;1;3;3;3;446;2024-01-01 01:30:06
23;2024-01-01 01:30:28;57228641.85;8;1;1;1;1164;2024-01-01 01:30:28
24;2024-01-01 01:31:25;25153183.91;1;0;8;0;635;2024-01-01 01:31:25
25;2024-01-01 01:31:49;69434853.62;7;1;2;1;237;2024-01-01 01:31:49
26;2024-01-01 01:32:01;75722461.46;2;3;5;3;811;2024-01-01 01:32:01
27;2024-01-01 01:32:16;75259325.28;5;2;3;2;586;2024-01-01 01:32:16
28;2024-01-01 01:32:44;37846398.38;8;0;3;0;36;2024-01-01 01:32:44
29;2024-01-01 01:33:19;56920994.55;7;0;5;0;1041;2024-01-01 01:33:19
30;2024-01-01 01:33:21;20743383.7;2;0;4;0;1007;2024-01-01 01:33:21
31;2024-01-01 01:34:03;32428689.11;1;2;4;2;1065;2024-01-01 01:34:03
32;2024-01-01 01:34:20;5962589.66;7;0;3;0;592;2024-01-01 01:34:20
33;2024-01-01 01:34:46;27329819.1;8;0;4;0;180;2024-01-01 01:34:46
34;2024-01-01 01:35:10;94496121.82;7;4;2;4;986;2024-01-01 01:35:10
35;2024-01-01 01:35:36;44867246.22;3;0;6;0;131;2024-01-01 01:35:36
36;2024-01-01 01:35:54;66300722.21;7;2;3;2;736;2024-01-01 01:35:54
37;2024-01-01 01:35:58;94521117.12;8;0;2;0;129;2024-01-01 01:35:58
38;2024-01-01 01:36:01;132065823.02;8;3;5;3;834;2024-01-01 01:36:01
41;2024-01-01 01:36:31;71618871.29;7;0;4;0;52;2024-01-01 01:36:31
42;2024-01-01 01:37:11;132552431.76;1;0;5;0;253;2024-01-01 01:37:11
43;2024-01-01 01:37:50;89164814.75;3;4;8;4;775;2024-01-01 01:37:50
44;2024-01-01 01:37:59;94107899.74;1;0;2;0;654;2024-01-01 01:37:59
45;2024-01-01 01:38:00;35872613.41;8;0;2;0;1170;2024-01-01 01:38:00
46;2024-01-01 01:38:20;91659480.43;2;2;8;2;1002;2024-01-01 01:38:20
47;2024-01-01 01:38:22;115680937.5;4;0;6;0;947;2024-01-01 01:38:22
48;2024-01-01 01:38:46;75799353.6;2;0;8;0;556;2024-01-01 01:38:46
50;2024-01-01 01:40:02;110019056.87;8;0;1;0;172;2024-01-01 01:40:02
51;2024-01-01 01:40:03;61651225.95;1;0;6;0;137;2024-01-01 01:40:03
53;2024-01-01 01:40:24;140389253.84;4;0;8;0;1089;2024-01-01 01:40:24
54;2024-01-01 01:41:16;114949313.78;6;1;3;1;40;2024-01-01 01:41:16
55;2024-01-01 01:42:30;42161545.89;6;2;8;2;923;2024-01-01 01:42:30
56;2024-01-01 01:42:50;91700481.36;1;0;8;0;645;2024-01-01 01:42:50
57;2024-01-01 01:42:53;61329643.5;4;0;5;0;1099;2024-01-01 01:42:53
59;2024-01-01 01:43:26;43134466.49;1;0;5;0;1022;2024-01-01 01:43:26
