Time;4;0;2;1;3;Credit limit
00:00:00;6369618625;808038708;5068014728;2015071131;5625697606;-338945422
00:15:00;6369618625;808038708;5068014728;2015071131;5625697606;-338945422
00:30:00;6369618625;808038708;5068014728;2015071131;5625697606;-338945422
00:45:00;6369618625;808038708;5068014728;2015071131;5625697606;-338945422
01:00:00;6369618625;808038708;5068014728;2015071131;5625697606;-338945422
01:15:00;6369618625;808038708;5068014728;2015071131;5625697606;-338945422
01:30:00;6369618625;808038708;5068014728;2015071131;5625697606;-338945422
01:45:00;6369618625;808038708;5068014728;2015071131;5625697606;-338945422
02:00:00;6369618625;749088089;5068014728;2074021750;5625697606;-338945422
02:15:00;6369618625;749088089;5068014728;2074021750;5625697606;-338945422
02:30:00;6369618625;922209182;5068014728;2074021750;5452576512;-338945422
02:45:00;6369618625;922209182;5068014728;2074021750;5452576512;-338945422
03:00:00;6369618625;922209182;5068014728;2074021750;5452576512;-338945422
03:15:00;6369618625;889064833;5101159077;2074021750;5452576512;-338945422
03:30:00;6369618625;1125169680;4936450256;2002625723;5452576512;-338945422
03:45:00;6363696436;1131091869;4936450256;2002625723;5452576512;-338945422
04:00:00;6412296771;1082491534;4936450256;2002625723;5452576512;-338945422
04:15:00;6412296771;1003186001;5015755789;2002625723;5452576512;-338945422
04:30:00;6481416955;934065817;5015755789;2002625723;5452576512;-338945422
04:45:00;6540404269;951808199;5031790443;1909861373;5452576512;-338945422
05:00:00;6540404269;1222106966;4761491676;1909861373;5452576512;-338945422
05:15:00;6540404269;1222106966;4761491676;1909861373;5452576512;-338945422
05:30:00;6450725002;1519156208;4741768540;1909861373;5264929674;-338945422
05:45:00;6509996408;1498618830;4814743297;1798152588;5264929674;-338945422
06:00:00;6282937942;1654628692;4814743297;1798152588;5335978277;-338945422
06:15:00;6282937942;1654628692;4814743297;1798152588;5335978277;-338945422
06:30:00;6282937942;1648078180;4814743297;1760686282;5379995095;-338945422
06:45:00;6308611573;1669104682;4814743297;1713986149;5379995095;-338945422
07:00:00;6276769849;1678379427;4814743297;1676621638;5439926585;-338945422
07:15:00;6339262645;1754676497;4736560719;1616014350;5439926585;-338945422
07:30:00;6377810965;2072983326;4566497621;1688611166;5180537718;-338945422
07:45:00;6377810965;2268779050;4525900152;1652794636;5061155994;-338945422
08:00:00;6385321030;2278727021;4529708096;1609378047;5083306603;-338945422
08:15:00;6413138662;2250909388;4529708096;1609378047;5083306603;-338945422
08:30:00;6493403680;2109022334;4592564072;1609378047;5082072664;-338945422
08:45:00;6506559429;2274158261;4498458541;1525191901;5082072664;-338945422
09:00:00;6419486387;2274014314;4498458541;1574288795;5120192759;-338945422
09:15:00;6419486387;2342497284;4498458541;1549525528;5076473057;-338945422
09:30:00;6371009126;2390974544;4498458541;1549525528;5076473057;-338945422
09:45:00;6371009126;2395277700;4393329338;1619180076;5107644556;-338945422
10:00:00;6371009126;2488404975;4393329338;1619180076;5014517282;-338945422
10:15:00;6394092320;2533586344;4428264567;1515980283;5014517282;-338945422
10:30:00;6411894104;2490646197;4471771584;1497611629;5014517282;-338945422
10:45:00;6395761699;2371027139;4471771584;1497611629;5150268744;-338945422
11:00:00;6395761699;2484785939;4471771584;1383852830;5150268744;-338945422
11:15:00;6412434663;2527712253;4403369720;1383852830;5159071330;-338945422
11:30:00;6394588771;2757191664;4423158408;1252024514;5059477440;-338945422
11:45:00;6394588771;2659105332;4527744739;1150615296;5154386659;-338945422
12:00:00;6501039169;2555577493;4521153699;1150615296;5158055140;-338945422
12:15:00;6490092086;2494231324;4536316750;1225419322;5140381315;-338945422
12:30:00;6490092086;2405587055;4536316750;1225419322;5229025583;-338945422
12:45:00;6490092086;2294286900;4598252012;1298156519;5205653278;-338945422
13:00:00;6537754662;2215385994;4637916655;1289730207;5205653278;-338945422
13:15:00;6537754662;2269269647;4609001489;1264761719;5205653278;-338945422
13:30:00;6528368431;2174007440;4639597845;1338813801;5205653278;-338945422
13:45:00;6396975352;2237555781;4639597845;1406658540;5205653278;-338945422
14:00:00;6242265493;2379344418;4618982301;1440195305;5205653278;-338945422
14:15:00;6161362365;2588262145;4595989842;1297672179;5243154265;-338945422
14:30:00;6148222469;2696700458;4561853020;1297672179;5181992671;-338945422
14:45:00;6146649990;2670398182;4561853020;1325546934;5181992671;-338945422
15:00:00;6218799096;2493354182;4578698021;1335307822;5260281676;-338945422
15:15:00;6168477192;2550430061;4550913384;1297110873;5319509286;-338945422
15:30:00;6317808912;2403178814;4495818943;1297110873;5372523254;-338945422
15:45:00;6299028554;2379736222;4495818943;1243024720;5468832357;-338945422
16:00:00;6304424687;2452510081;4541171823;1243024720;5345309485;-338945422
16:15:00;6304424687;2434690497;4609178003;1196140165;5342007444;-338945422
16:30:00;6193828402;2717018544;4512980987;1210957388;5251655476;-338945422
16:45:00;6273949849;2872202104;4450209926;1093377949;5196700969;-338945422
17:00:00;6232938732;2939234253;4517636385;999930458;5196700969;-338945422
17:15:00;6232938732;2895788043;4592181812;1031166936;5134365273;-338945422
17:30:00;6161395495;3133288127;4592215187;916245108;5083296880;-338945422
17:45:00;6118018059;3391459674;4605484511;874331833;4897146719;-338945422
18:00:00;6200847922;3106996394;4702310712;913635978;4962649791;-338945422
18:15:00;6132288360;3147454477;4754072085;1046259869;4806366006;-338945422
18:30:00;6193778151;3040830543;4811429854;1099116513;4741285735;-338945422
18:45:00;6271880026;2984025803;4781789459;1111206755;4737538753;-338945422
19:00:00;6281732586;3083276871;4713108163;1144486562;4663836614;-338945422
19:15:00;6305761740;2842858976;4661437874;1223260850;4853121355;-338945422
19:30:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
19:45:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
20:00:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
20:15:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
20:30:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
20:45:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
21:00:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
21:15:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
21:30:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
21:45:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
22:00:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
22:15:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
22:30:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
22:45:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
23:00:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
23:15:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
23:30:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
23:45:00;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
23:59:59;6305761740;2824895140;4779153097;1241474536;4735156284;-338945422
